,Player,Year,Club,Position,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
253,Preki,1997,KC,M,27,27,2330,12,17,84,44,5,3/5,6,6,0.46,14.3
254,Ronald Cerritos,1997,SJ,F,22,22,1847,12,10,40,21,2,0/0,6,6,0.58,30.0
255,Dante Washington,1997,DAL,F,30,25,2162,12,6,69,38,3,0/1,10,2,0.5,17.4
256,Damian,1997,DAL,F,19,19,1479,11,7,68,34,3,4/4,5,6,0.67,16.2
257,Welton,1997,LA,F,29,12,1321,11,3,44,18,2,0/0,6,5,0.75,25.0
258,Lawrence Lozzano,1997,SJ,M,29,23,2096,10,10,65,36,3,0/0,5,5,0.43,15.4
259,Mark Chung,1997,KC,M,32,32,2871,10,8,62,32,2,0/0,8,2,0.31,16.1
260,Roy Lassiter,1997,TB,F,24,23,1885,10,2,48,30,3,0/0,7,3,0.48,20.8
261,Jeff Baicher,1997,SJ,M,32,20,2031,10,2,74,36,1,0/1,2,8,0.44,13.5
262,Antony De Avila,1997,MET,F,23,21,1916,9,9,66,35,2,0/1,6,3,0.42,13.6
263,Vitalis Takawira,1997,KC,F,28,23,2153,8,7,48,28,3,0/0,3,5,0.33,16.7
